"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"IDM00096607","2019-08-31","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S",,,"  304","H,,S"
"IDM00096607","2019-09-01","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  248",",,S","  297","H,,S"
"IDM00096607","2019-09-02","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  356",",,S","  240",",,S","  305","H,,S"
"IDM00096607","2019-09-03","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  246",",,S","  301","H,,S"
"IDM00096607","2019-09-04","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S","  240",",,S","  296","H,,S"
"IDM00096607","2019-09-05","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  250",",,S","  299","H,,S"
"IDM00096607","2019-09-06","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  252",",,S","  298","H,,S"
"IDM00096607","2019-09-07","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  250",",,S","  303","H,,S"
"IDM00096607","2019-09-08","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  364",",,S","  240",",,S","  311","H,,S"
"IDM00096607","2019-09-09","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  356",",,S","  240",",,S","  305","H,,S"
"IDM00096607","2019-09-10","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  252",",,S","  301","H,,S"
"IDM00096607","2019-09-11","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  234",",,S","  301","H,,S"
"IDM00096607","2019-09-12","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  240",",,S","  296","H,,S"
"IDM00096607","2019-09-13","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  244",",,S","  290","H,,S"
"IDM00096607","2019-09-14","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  234",",,S","  297","H,,S"
"IDM00096607","2019-09-15","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S","  238",",,S","  302","H,,S"
"IDM00096607","2019-09-16","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  244",",,S","  297","H,,S"
"IDM00096607","2019-09-17","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  324",",,S","  250",",,S","  298","H,,S"
"IDM00096607","2019-09-19","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  352",",,S","  250",",,S","  307","H,,S"
"IDM00096607","2019-09-20","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  246",",,S","  303","H,,S"
"IDM00096607","2019-09-21","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  240",",,S","  301","H,,S"
"IDM00096607","2019-09-22","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  242",",,S","  307","H,,S"
"IDM00096607","2019-09-23","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S","  246",",,S","  311","H,,S"
"IDM00096607","2019-09-24","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  248",",,S","  306","H,,S"
"IDM00096607","2019-09-25","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  250",",,S","  305","H,,S"
"IDM00096607","2019-09-26","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  350",",,S","  252",",,S","  316","H,,S"
"IDM00096607","2019-09-27","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  250",",,S","  301","H,,S"
"IDM00096607","2019-09-28","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S",,,"  290","H,,S"
"IDM00096607","2019-09-29","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  326",",,S","  244",",,S","  287","H,,S"
"IDM00096607","2019-09-30","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  250",",,S","  295","H,,S"
"IDM00096607","2019-10-01","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  324",",,S","  250",",,S","  283","H,,S"
"IDM00096607","2019-10-02","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  246",",,S","  301","H,,S"
"IDM00096607","2019-10-03","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  316",",,S","  236",",,S","  285","H,,S"
"IDM00096607","2019-10-05","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  240",",,S","  289","H,,S"
"IDM00096607","2019-10-06","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  238",",,S","  295","H,,S"
"IDM00096607","2019-10-07","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  242",",,S","  292","H,,S"
"IDM00096607","2019-10-08","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  250",",,S","  302","H,,S"
"IDM00096607","2019-10-09","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  260",",,S","  303","H,,S"
"IDM00096607","2019-10-10","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  248",",,S","  312","H,,S"
"IDM00096607","2019-10-11","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  248",",,S","  286","H,,S"
"IDM00096607","2019-10-12","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  318",",,S","  240",",,S","  275","H,,S"
"IDM00096607","2019-10-13","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  320",",,S","  246",",,S","  289","H,,S"
"IDM00096607","2019-10-14","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  244",",,S","  309","H,,S"
"IDM00096607","2019-10-15","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  322",",,S","  250",",,S","  288","H,,S"
"IDM00096607","2019-10-16","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  322",",,S","  248",",,S","  286","H,,S"
"IDM00096607","2019-10-17","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  250",",,S","  294","H,,S"
"IDM00096607","2019-10-18","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  254",",,S","  306","H,,S"
"IDM00096607","2019-10-19","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  308",",,S","  244",",,S","  281","H,,S"
"IDM00096607","2019-10-20","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  300",",,S","  250",",,S","  276","H,,S"
"IDM00096607","2019-10-21","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  252",",,S","  310","H,,S"
"IDM00096607","2019-10-22","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  250",",,S","  302","H,,S"
"IDM00096607","2019-10-23","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  246",",,S","  284","H,,S"
"IDM00096607","2019-10-24","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  326",",,S","  236",",,S","  299","H,,S"
"IDM00096607","2019-10-25","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  242",",,S","  302","H,,S"
"IDM00096607","2019-10-26","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  310",",,S",,,"  278","H,,S"
"IDM00096607","2019-10-27","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  246",",,S","  298","H,,S"
"IDM00096607","2019-10-28","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  354",",,S","  254",",,S","  302","H,,S"
"IDM00096607","2019-10-29","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  248",",,S","  303","H,,S"
"IDM00096607","2019-10-30","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S","  244",",,S","  306","H,,S"
"IDM00096607","2019-10-31","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  248",",,S","  304","H,,S"
"IDM00096607","2019-11-01","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  288",",,S","  248",",,S","  269","H,,S"
"IDM00096607","2019-11-02","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  248",",,S","  299","H,,S"
"IDM00096607","2019-11-03","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  250",",,S","  308","H,,S"
"IDM00096607","2019-11-04","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  244",",,S","  304","H,,S"
"IDM00096607","2019-11-05","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  250",",,S","  302","H,,S"
"IDM00096607","2019-11-06","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  250",",,S","  283","H,,S"
"IDM00096607","2019-11-07","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  250",",,S","  296","H,,S"
"IDM00096607","2019-11-08","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  252",",,S","  306","H,,S"
"IDM00096607","2019-11-09","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  300",",,S",,,"  258","H,,S"
"IDM00096607","2019-11-10","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  232",",,S","  302","H,,S"
"IDM00096607","2019-11-11","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  326",",,S","  248",",,S","  301","H,,S"
"IDM00096607","2019-11-12","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  300",",,S","  240",",,S","  282","H,,S"
"IDM00096607","2019-11-13","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  248",",,S","  306","H,,S"
"IDM00096607","2019-11-14","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  258",",,S","  299","H,,S"
"IDM00096607","2019-11-15","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S","  246",",,S","  312","H,,S"
"IDM00096607","2019-11-16","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  324",",,S","  248",",,S","  288","H,,S"
"IDM00096607","2019-11-17","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  248",",,S","  308","H,,S"
"IDM00096607","2019-11-18","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  256",",,S","  310","H,,S"
"IDM00096607","2019-11-19","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  256",",,S","  302","H,,S"
"IDM00096607","2019-11-20","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  250",",,S","  306","H,,S"
"IDM00096607","2019-11-21","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  250",",,S","  285","H,,S"
"IDM00096607","2019-11-22","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  246",",,S","  295","H,,S"
"IDM00096607","2019-11-23","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  248",",,S","  283","H,,S"
"IDM00096607","2019-11-24","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  246",",,S","  301","H,,S"
"IDM00096607","2019-11-25","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  248",",,S","  298","H,,S"
"IDM00096607","2019-11-26","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  312",",,S","  250",",,S","  289","H,,S"
"IDM00096607","2019-11-27","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  254",",,S","  304","H,,S"
"IDM00096607","2019-11-28","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  320",",,S","  258",",,S","  297","H,,S"
"IDM00096607","2019-11-29","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  254",",,S","  294","H,,S"
"IDM00096607","2019-11-30","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  250",",,S","  303","H,,S"
"IDM00096607","2019-12-01","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  258",",,S","  309","H,,S"
"IDM00096607","2019-12-02","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  250",",,S","  311","H,,S"
"IDM00096607","2019-12-03","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  252",",,S","  292","H,,S"
"IDM00096607","2019-12-04","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  296",",,S","  250",",,S","  273","H,,S"
"IDM00096607","2019-12-05","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  246",",,S","  301","H,,S"
"IDM00096607","2019-12-06","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  316",",,S","  258",",,S","  281","H,,S"
"IDM00096607","2019-12-07","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  244",",,S","  302","H,,S"
"IDM00096607","2019-12-08","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  294",",,S","  252",",,S","  275","H,,S"
"IDM00096607","2019-12-09","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  240",",,S","  295","H,,S"
"IDM00096607","2019-12-10","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  296",",,S",,,"  268","H,,S"
"IDM00096607","2019-12-11","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  244",",,S","  300","H,,S"
"IDM00096607","2019-12-12","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  240",",,S","  289","H,,S"
"IDM00096607","2019-12-13","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  286",",,S","  236",",,S","  266","H,,S"
"IDM00096607","2019-12-14","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  240",",,S","  300","H,,S"
"IDM00096607","2019-12-15","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  250",",,S","  308","H,,S"
"IDM00096607","2019-12-16","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  310",",,S",,,"  287","H,,S"
"IDM00096607","2019-12-17","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  320",",,S","  250",",,S","  287","H,,S"
"IDM00096607","2019-12-18","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  314",",,S","  250",",,S","  278","H,,S"
"IDM00096607","2019-12-19","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  244",",,S","  281","H,,S"
"IDM00096607","2019-12-20","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  320",",,S","  246",",,S","  281","H,,S"
"IDM00096607","2019-12-21","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  248",",,S","  301","H,,S"
"IDM00096607","2019-12-22","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  244",",,S","  297","H,,S"
"IDM00096607","2019-12-23","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  250",",,S","  294","H,,S"
"IDM00096607","2019-12-24","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  318",",,S","  246",",,S","  291","H,,S"
"IDM00096607","2019-12-25","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  318",",,S","  248",",,S","  291","H,,S"
"IDM00096607","2019-12-26","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  258",",,S","  279","H,,S"
"IDM00096607","2019-12-27","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  246",",,S","  304","H,,S"
"IDM00096607","2019-12-28","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  230",",,S","  284","H,,S"
"IDM00096607","2019-12-29","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  238",",,S","  291","H,,S"
"IDM00096607","2019-12-30","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  256",",,S","  296","H,,S"
"IDM00096607","2019-12-31","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  324",",,S","  250",",,S","  301","H,,S"
"IDM00096607","2020-01-01","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  242",",,S","  304","H,,S"
"IDM00096607","2020-01-02","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  258",",,S","  298","H,,S"
"IDM00096607","2020-01-03","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  328",",,S","  248",",,S","  277","H,,S"
"IDM00096607","2020-01-04","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  246",",,S","  290","H,,S"
"IDM00096607","2020-01-05","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  298",",,S","  248",",,S","  269","H,,S"
"IDM00096607","2020-01-06","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  318",",,S","  254",",,S","  290","H,,S"
"IDM00096607","2020-01-07","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  258",",,S","  302","H,,S"
"IDM00096607","2020-01-08","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  244",",,S","  302","H,,S"
"IDM00096607","2020-01-09","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S",,,"  319","H,,S"
"IDM00096607","2020-01-10","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  258",",,S","  308","H,,S"
"IDM00096607","2020-01-11","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  300",",,S","  238",",,S","  268","H,,S"
"IDM00096607","2020-01-12","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  304",",,S","  238",",,S","  279","H,,S"
"IDM00096607","2020-01-13","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  350",",,S","  240",",,S","  303","H,,S"
"IDM00096607","2020-01-14","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  268",",,S",,,"  257","H,,S"
"IDM00096607","2020-01-15","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  304",",,S","  232",",,S","  279","H,,S"
"IDM00096607","2020-01-16","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  246",",,S","  296","H,,S"
"IDM00096607","2020-01-17","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  256",",,S","  308","H,,S"
"IDM00096607","2020-01-18","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  318",",,S","  252",",,S","  281","H,,S"
"IDM00096607","2020-01-19","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  242",",,S","  302","H,,S"
"IDM00096607","2020-01-20","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  248",",,S","  308","H,,S"
"IDM00096607","2020-01-21","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  240",",,S","  308","H,,S"
"IDM00096607","2020-01-22","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  248",",,S","  307","H,,S"
"IDM00096607","2020-01-23","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  252",",,S","  309","H,,S"
"IDM00096607","2020-01-24","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S","  252",",,S","  312","H,,S"
"IDM00096607","2020-01-25","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  262",",,S","  310","H,,S"
"IDM00096607","2020-01-26","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  252",",,S","  278","H,,S"
"IDM00096607","2020-01-27","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  242",",,S","  311","H,,S"
"IDM00096607","2020-01-28","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  260",",,S","  314","H,,S"
"IDM00096607","2020-01-29","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  350",",,S","  258",",,S","  317","H,,S"
"IDM00096607","2020-01-30","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  260",",,S","  280","H,,S"
"IDM00096607","2020-01-31","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  276",",,S",,,"  259","H,,S"
"IDM00096607","2020-02-01","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  240",",,S","  301","H,,S"
"IDM00096607","2020-02-02","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  244",",,S","  307","H,,S"
"IDM00096607","2020-02-03","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  236",",,S","  309","H,,S"
"IDM00096607","2020-02-04","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  238",",,S","  308","H,,S"
"IDM00096607","2020-02-05","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  240",",,S","  299","H,,S"
"IDM00096607","2020-02-06","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  324",",,S","  256",",,S","  294","H,,S"
"IDM00096607","2020-02-07","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  290",",,S","  250",",,S","  270","H,,S"
"IDM00096607","2020-02-08","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  244",",,S","  279","H,,S"
"IDM00096607","2020-02-09","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  244",",,S","  298","H,,S"
"IDM00096607","2020-02-10","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,,,"  298","H,,S"
"IDM00096607","2020-02-11","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  244",",,S","  306","H,,S"
"IDM00096607","2020-02-12","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  248",",,S","  305","H,,S"
"IDM00096607","2020-02-13","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  250",",,S","  306","H,,S"
"IDM00096607","2020-02-14","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  242",",,S","  309","H,,S"
"IDM00096607","2020-02-15","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  336",",,S","  258",",,S","  302","H,,S"
"IDM00096607","2020-02-16","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  322",",,S","  244",",,S","  289","H,,S"
"IDM00096607","2020-02-17","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  256",",,S","  283","H,,S"
"IDM00096607","2020-02-18","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  310",",,S","  250",",,S","  283","H,,S"
"IDM00096607","2020-02-19","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  326",",,S","  230",",,S","  288","H,,S"
"IDM00096607","2020-02-20","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  246",",,S","  305","H,,S"
"IDM00096607","2020-02-21","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  254",",,S","  311","H,,S"
"IDM00096607","2020-02-22","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  250",",,S","  308","H,,S"
"IDM00096607","2020-02-23","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  342",",,S","  258",",,S","  312","H,,S"
"IDM00096607","2020-02-24","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  230",",,S","  312","H,,S"
"IDM00096607","2020-02-25","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  348",",,S","  236",",,S","  315","H,,S"
"IDM00096607","2020-02-26","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  340",",,S","  266",",,S","  311","H,,S"
"IDM00096607","2020-02-27","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  334",",,S","  250",",,S","  303","H,,S"
"IDM00096607","2020-02-28","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  350",",,S","  259",",,S","  314","H,,S"
"IDM00096607","2020-02-29","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  341",",,S","  262",",,S","  307","H,,S"
"IDM00096607","2020-03-01","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  350",",,S","  246",",,S","  318","H,,S"
"IDM00096607","2020-03-02","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  348",",,S","  250",",,S","  304","H,,S"
"IDM00096607","2020-03-03","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  348",",,S","  262",",,S","  317","H,,S"
"IDM00096607","2020-03-04","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  290",",,S","  250",",,S","  277","H,,S"
"IDM00096607","2020-03-05","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  326",",,S","  248",",,S","  288","H,,S"
"IDM00096607","2020-03-06","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  308",",,S","  244",",,S","  278","H,,S"
"IDM00096607","2020-03-07","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  246",",,S","  292","H,,S"
"IDM00096607","2020-03-08","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  324",",,S","  232",",,S","  292","H,,S"
"IDM00096607","2020-03-09","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S","  232",",,S","  292","H,,S"
"IDM00096607","2020-03-10","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  346",",,S","  242",",,S","  303","H,,S"
"IDM00096607","2020-03-11","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  258",",,S","  316","H,,S"
"IDM00096607","2020-03-12","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  350",",,S","  256",",,S","  318","H,,S"
"IDM00096607","2020-03-13","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  252",",,S","  309","H,,S"
"IDM00096607","2020-03-15","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  268",",,S","  307","H,,S"
"IDM00096607","2020-03-16","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  248",",,S","  312","H,,S"
"IDM00096607","2020-03-17","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  236",",,S","  313","H,,S"
"IDM00096607","2020-03-18","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  244",",,S","  315","H,,S"
"IDM00096607","2020-03-19","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  332",",,S","  264",",,S","  309","H,,S"
"IDM00096607","2020-03-20","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  248",",,S","  304","H,,S"
"IDM00096607","2020-03-21","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  286",",,S","  228",",,S","  267","H,,S"
"IDM00096607","2020-03-22","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  338",",,S","  230",",,S","  302","H,,S"
"IDM00096607","2020-03-23","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  358",",,S",,,"  314","H,,S"
"IDM00096607","2020-03-24","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  324",",,S","  247",",,S","  290","H,,S"
"IDM00096607","2020-03-25","-0.485","117.157","10.0","TEMINDUNG, ID",,,,,"  246",",,S","  303","H,,S"
"IDM00096607","2020-03-26","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  248",",,S","  308","H,,S"
"IDM00096607","2020-03-27","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  344",",,S","  266",",,S","  313","H,,S"
"IDM00096607","2020-03-28","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  354",",,S","  246",",,S","  316","H,,S"
"IDM00096607","2020-03-29","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  330",",,S","  244",",,S","  294","H,,S"
"IDM00096607","2020-03-30","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  320",",,S","  248",",,S","  301","H,,S"
"IDM00096607","2020-03-31","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  348",",,S","  253",",,S","  297","H,,S"
"IDM00096607","2020-04-01","-0.485","117.157","10.0","TEMINDUNG, ID",,,"  320",",,S","  242",",,S","  290","H,,S"
